algorithm,matrix_size,run,time_ms,residual,status
Jewell  (Hash + Pivot),2,1,0.108375,3.552714e-15,OK
Jewell  (Hash + Pivot),2,2,0.023250,3.552714e-15,OK
Jewell  (Hash + Pivot),2,3,0.016208,3.552714e-15,OK
Jewell  (Hash + Pivot),2,4,0.013709,3.552714e-15,OK
Jewell  (Hash + Pivot),2,5,0.013000,3.552714e-15,OK
Jewell  (Hash + Pivot),2,6,0.013083,3.552714e-15,OK
Jewell  (Hash + Pivot),2,7,0.012250,3.552714e-15,OK
Jewell  (Hash + Pivot),2,8,0.014250,3.552714e-15,OK
Jewell  (Hash + Pivot),2,9,0.012083,3.552714e-15,OK
Jewell  (Hash + Pivot),2,10,0.011958,3.552714e-15,OK
Jewell  (Hash + Pivot),2,11,0.011875,3.552714e-15,OK
Jewell  (Hash + Pivot),2,12,0.012167,3.552714e-15,OK
Jewell  (Hash + Pivot),2,13,0.011917,3.552714e-15,OK
Jewell  (Hash + Pivot),2,14,0.012500,3.552714e-15,OK
Jewell  (Hash + Pivot),2,15,0.011875,3.552714e-15,OK
Jewell  (Hash + Pivot),2,16,0.011916,3.552714e-15,OK
Jewell  (Hash + Pivot),2,17,0.011666,3.552714e-15,OK
Jewell  (Hash + Pivot),2,18,0.011708,3.552714e-15,OK
Jewell  (Hash + Pivot),2,19,0.011875,3.552714e-15,OK
Jewell  (Hash + Pivot),2,20,0.011833,3.552714e-15,OK
Jewell  (Hash + Pivot),2,21,0.011792,3.552714e-15,OK
Jewell  (Hash + Pivot),2,22,0.011958,3.552714e-15,OK
Jewell  (Hash + Pivot),2,23,0.011708,3.552714e-15,OK
Jewell  (Hash + Pivot),2,24,0.011416,3.552714e-15,OK
Jewell  (Hash + Pivot),2,25,0.011667,3.552714e-15,OK
Jewell  (Hash + Pivot),2,26,0.011750,3.552714e-15,OK
Jewell  (Hash + Pivot),2,27,0.012041,3.552714e-15,OK
Jewell  (Hash + Pivot),2,28,0.011875,3.552714e-15,OK
Jewell  (Hash + Pivot),2,29,0.012167,3.552714e-15,OK
Jewell  (Hash + Pivot),2,30,0.011583,3.552714e-15,OK
Carson  (LU Decomp),2,1,5.302333,3.552714e-15,OK
Carson  (LU Decomp),2,2,0.076333,3.552714e-15,OK
Carson  (LU Decomp),2,3,0.058125,3.552714e-15,OK
Carson  (LU Decomp),2,4,0.050917,3.552714e-15,OK
